school,course_id,keyword,count
california_institute_of_technology,california_institute_of_technology__100,catalysis,2
california_institute_of_technology,california_institute_of_technology__101,pipeline,1
california_institute_of_technology,california_institute_of_technology__102,chemical engineering,1
california_institute_of_technology,california_institute_of_technology__103,electrochemistry,2
california_institute_of_technology,california_institute_of_technology__104,catalysis,1
california_institute_of_technology,california_institute_of_technology__105,catalyst,1
california_institute_of_technology,california_institute_of_technology__106,catalysis,1
california_institute_of_technology,california_institute_of_technology__107,catalysis,1
california_institute_of_technology,california_institute_of_technology__108,chemical synthesis,1
california_institute_of_technology,california_institute_of_technology__109,materials science,1
california_institute_of_technology,california_institute_of_technology__110,catalyst,1
california_institute_of_technology,california_institute_of_technology__111,catalysis,1
california_institute_of_technology,california_institute_of_technology__112,sustainability,1
california_institute_of_technology,california_institute_of_technology__113,catalyst,1
california_institute_of_technology,california_institute_of_technology__114,materials science,1
california_state_university_long_beach,california_state_university_long_beach__0,sustainability,3
california_state_university_long_beach,california_state_university_long_beach__1,welding,1
california_state_university_long_beach,california_state_university_long_beach__2,sustainability,1
california_state_university_long_beach,california_state_university_long_beach__3,project management,1
california_state_university_long_beach,california_state_university_long_beach__4,resource management,2
california_state_university_long_beach,california_state_university_long_beach__5,prosim,1
california_state_university_long_beach,california_state_university_long_beach__6,sustainability,1
california_state_university_long_beach,california_state_university_long_beach__7,sustainability,2
california_state_university_long_beach,california_state_university_long_beach__8,sustainability,1
california_state_university_long_beach,california_state_university_long_beach__9,catalyst,1
california_state_university_long_beach,california_state_university_long_beach__10,welding,1
california_state_university_long_beach,california_state_university_long_beach__11,risk assessment,1
california_state_university_long_beach,california_state_university_long_beach__12,project management,1
california_state_university_long_beach,california_state_university_long_beach__13,construction management,2
california_state_university_long_beach,california_state_university_long_beach__14,electrochemistry,1
california_state_university_long_beach,california_state_university_long_beach__15,electrochemistry,1
california_state_university_long_beach,california_state_university_long_beach__16,chemical engineering,2
california_state_university_long_beach,california_state_university_long_beach__17,chemical engineering,2
california_state_university_long_beach,california_state_university_long_beach__18,chemical engineering,3
california_state_university_long_beach,california_state_university_long_beach__19,chemical engineering,3
california_state_university_long_beach,california_state_university_long_beach__20,chemical engineering,1
california_state_university_long_beach,california_state_university_long_beach__21,chemical engineering,1
california_state_university_long_beach,california_state_university_long_beach__21,process control,1
california_state_university_long_beach,california_state_university_long_beach__22,chemical engineering,1
california_state_university_long_beach,california_state_university_long_beach__23,chemical engineering,1
california_state_university_long_beach,california_state_university_long_beach__24,hydrogen fuel,1
california_state_university_long_beach,california_state_university_long_beach__24,hydrogen,1
california_state_university_long_beach,california_state_university_long_beach__24,proton exchange membrane,1
california_state_university_long_beach,california_state_university_long_beach__24,fuel cell,1
california_state_university_long_beach,california_state_university_long_beach__24,chemical engineering,1
california_state_university_long_beach,california_state_university_long_beach__24,electrochemical,1
california_state_university_long_beach,california_state_university_long_beach__25,chemical engineering,1
california_state_university_long_beach,california_state_university_long_beach__26,chemical engineering,1
california_state_university_long_beach,california_state_university_long_beach__27,catalyst,5
california_state_university_long_beach,california_state_university_long_beach__27,chemical engineering,2
california_state_university_long_beach,california_state_university_long_beach__28,chemical engineering,1
california_state_university_long_beach,california_state_university_long_beach__29,catalyst,1
california_state_university_long_beach,california_state_university_long_beach__29,chemical engineering,1
california_state_university_long_beach,california_state_university_long_beach__30,chemical engineering,2
california_state_university_long_beach,california_state_university_long_beach__30,heat transfer,1
california_state_university_long_beach,california_state_university_long_beach__31,chemical engineering,2
california_state_university_long_beach,california_state_university_long_beach__32,chemical engineering,2
california_state_university_long_beach,california_state_university_long_beach__32,process simulation,1
california_state_university_long_beach,california_state_university_long_beach__33,chemical engineering,1
california_state_university_long_beach,california_state_university_long_beach__34,chemical engineering,2
california_state_university_long_beach,california_state_university_long_beach__35,chemical engineering,1
california_state_university_long_beach,california_state_university_long_beach__36,automation,2
california_state_university_long_beach,california_state_university_long_beach__36,process control,1
california_state_university_long_beach,california_state_university_long_beach__37,chemical engineering,1
california_state_university_long_beach,california_state_university_long_beach__38,chemical engineering,1
california_state_university_long_beach,california_state_university_long_beach__38,process control,1
california_state_university_long_beach,california_state_university_long_beach__39,automation,1
california_state_university_long_beach,california_state_university_long_beach__40,chemical engineering,1
california_state_university_long_beach,california_state_university_long_beach__40,heat transfer,1
california_state_university_long_beach,california_state_university_long_beach__40,process control,1
california_state_university_long_beach,california_state_university_long_beach__41,catalyst,1
california_state_university_long_beach,california_state_university_long_beach__41,fuel cell,4
california_state_university_long_beach,california_state_university_long_beach__41,electrochemical,3
california_state_university_long_beach,california_state_university_long_beach__41,electrochemistry,1
california_state_university_long_beach,california_state_university_long_beach__42,chemical engineering,1
california_state_university_long_beach,california_state_university_long_beach__43,hydrogen fuel,1
california_state_university_long_beach,california_state_university_long_beach__43,hydrogen,1
california_state_university_long_beach,california_state_university_long_beach__43,proton exchange membrane,1
california_state_university_long_beach,california_state_university_long_beach__43,fuel cell,1
california_state_university_long_beach,california_state_university_long_beach__43,electrochemical,1
california_state_university_long_beach,california_state_university_long_beach__44,catalyst,1
california_state_university_long_beach,california_state_university_long_beach__45,catalyst,5
california_state_university_long_beach,california_state_university_long_beach__45,chemical engineering,1
california_state_university_long_beach,california_state_university_long_beach__46,chemical engineering,1
california_state_university_long_beach,california_state_university_long_beach__46,process control,1
california_state_university_long_beach,california_state_university_long_beach__47,process simulation,1
california_state_university_long_beach,california_state_university_long_beach__48,process simulation,1
california_state_university_long_beach,california_state_university_long_beach__49,chemical engineering,1
california_state_university_long_beach,california_state_university_long_beach__50,compressors,1
california_state_university_long_beach,california_state_university_long_beach__50,chemical engineering,1
california_state_university_long_beach,california_state_university_long_beach__51,chemical engineering,2
california_state_university_long_beach,california_state_university_long_beach__52,chemical engineering,1
california_state_university_long_beach,california_state_university_long_beach__53,chemical engineering,2
california_state_university_long_beach,california_state_university_long_beach__54,chemical engineering,3
california_state_university_long_beach,california_state_university_long_beach__55,chemical engineering,2
california_state_university_long_beach,california_state_university_long_beach__56,chemical engineering,3
california_state_university_long_beach,california_state_university_long_beach__57,ion exchange,1
california_state_university_long_beach,california_state_university_long_beach__58,sustainability,2
california_state_university_long_beach,california_state_university_long_beach__58,greenhouse gas emissions,1
california_state_university_long_beach,california_state_university_long_beach__59,chemical engineering,1
california_state_university_long_beach,california_state_university_long_beach__60,resource management,1
california_state_university_long_beach,california_state_university_long_beach__61,project management,2
california_state_university_long_beach,california_state_university_long_beach__62,sustainability,3
california_state_university_long_beach,california_state_university_long_beach__63,sustainability,1
california_state_university_long_beach,california_state_university_long_beach__64,systems engineering,1
california_state_university_long_beach,california_state_university_long_beach__65,project management,2
california_state_university_long_beach,california_state_university_long_beach__65,control systems,1
california_state_university_long_beach,california_state_university_long_beach__66,chemical engineering,1
california_state_university_long_beach,california_state_university_long_beach__67,chemical engineering,1
california_state_university_long_beach,california_state_university_long_beach__68,chemical engineering,1
