school,course_id,keyword
california_state_university_long_beach,california_state_university_long_beach__2,Sustainability
california_state_university_long_beach,california_state_university_long_beach__3,Project Management
california_state_university_long_beach,california_state_university_long_beach__4,Resource Management
california_state_university_long_beach,california_state_university_long_beach__5,ProSim
california_state_university_long_beach,california_state_university_long_beach__6,Sustainability
california_state_university_long_beach,california_state_university_long_beach__7,Sustainability
california_state_university_long_beach,california_state_university_long_beach__8,Sustainability
california_state_university_long_beach,california_state_university_long_beach__9,Catalyst
california_state_university_long_beach,california_state_university_long_beach__10,Welding
california_state_university_long_beach,california_state_university_long_beach__11,Risk Assessment
california_state_university_long_beach,california_state_university_long_beach__12,Project Management
california_state_university_long_beach,california_state_university_long_beach__13,Construction Management
california_state_university_long_beach,california_state_university_long_beach__14,Electrochemistry
california_state_university_long_beach,california_state_university_long_beach__15,Electrochemistry
california_state_university_long_beach,california_state_university_long_beach__16,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__17,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__18,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__19,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__20,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__21,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__21,Process Control
california_state_university_long_beach,california_state_university_long_beach__22,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__23,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__24,Hydrogen Fuel
california_state_university_long_beach,california_state_university_long_beach__24,Electrochemical
california_state_university_long_beach,california_state_university_long_beach__24,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__24,Hydrogen
california_state_university_long_beach,california_state_university_long_beach__24,Proton Exchange Membrane
california_state_university_long_beach,california_state_university_long_beach__24,Fuel Cell
california_state_university_long_beach,california_state_university_long_beach__25,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__26,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__27,Catalyst
california_state_university_long_beach,california_state_university_long_beach__27,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__28,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__29,Catalyst
california_state_university_long_beach,california_state_university_long_beach__29,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__30,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__30,Heat Transfer
california_state_university_long_beach,california_state_university_long_beach__31,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__32,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__32,Process Simulation
california_state_university_long_beach,california_state_university_long_beach__33,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__34,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__35,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__36,Automation
california_state_university_long_beach,california_state_university_long_beach__36,Process Control
california_state_university_long_beach,california_state_university_long_beach__37,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__38,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__38,Process Control
california_state_university_long_beach,california_state_university_long_beach__39,Automation
california_state_university_long_beach,california_state_university_long_beach__40,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__40,Process Control
california_state_university_long_beach,california_state_university_long_beach__40,Heat Transfer
california_state_university_long_beach,california_state_university_long_beach__41,Catalyst
california_state_university_long_beach,california_state_university_long_beach__41,Fuel Cell
california_state_university_long_beach,california_state_university_long_beach__41,Electrochemistry
california_state_university_long_beach,california_state_university_long_beach__41,Electrochemical
california_state_university_long_beach,california_state_university_long_beach__42,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__43,Hydrogen Fuel
california_state_university_long_beach,california_state_university_long_beach__43,Electrochemical
california_state_university_long_beach,california_state_university_long_beach__43,Hydrogen
california_state_university_long_beach,california_state_university_long_beach__43,Proton Exchange Membrane
california_state_university_long_beach,california_state_university_long_beach__43,Fuel Cell
california_state_university_long_beach,california_state_university_long_beach__44,Catalyst
california_state_university_long_beach,california_state_university_long_beach__45,Catalyst
california_state_university_long_beach,california_state_university_long_beach__45,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__46,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__46,Process Control
california_state_university_long_beach,california_state_university_long_beach__47,Process Simulation
california_state_university_long_beach,california_state_university_long_beach__48,Process Simulation
california_state_university_long_beach,california_state_university_long_beach__49,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__50,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__50,Compressors
california_state_university_long_beach,california_state_university_long_beach__51,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__52,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__53,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__54,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__55,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__56,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__57,Ion Exchange
california_state_university_long_beach,california_state_university_long_beach__58,Greenhouse Gas Emissions
california_state_university_long_beach,california_state_university_long_beach__58,Sustainability
california_state_university_long_beach,california_state_university_long_beach__59,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__60,Resource Management
california_state_university_long_beach,california_state_university_long_beach__61,Project Management
california_state_university_long_beach,california_state_university_long_beach__62,Sustainability
california_state_university_long_beach,california_state_university_long_beach__63,Sustainability
california_state_university_long_beach,california_state_university_long_beach__64,Systems Engineering
california_state_university_long_beach,california_state_university_long_beach__65,Project Management
california_state_university_long_beach,california_state_university_long_beach__65,Control Systems
california_state_university_long_beach,california_state_university_long_beach__66,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__67,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__68,Chemical Engineering
california_state_university_long_beach,california_state_university_long_beach__69,Control Systems
california_state_university_long_beach,california_state_university_long_beach__70,Combustion
california_state_university_long_beach,california_state_university_long_beach__71,Sustainability
california_state_university_long_beach,california_state_university_long_beach__72,Predictive Analytics
california_state_university_long_beach,california_state_university_long_beach__73,Sustainability
california_state_university_long_beach,california_state_university_long_beach__74,Sustainability
california_state_university_long_beach,california_state_university_long_beach__75,Control Systems
california_state_university_long_beach,california_state_university_long_beach__76,Control Systems
california_state_university_long_beach,california_state_university_long_beach__77,Resource Management
