title,description,relevance_score,matched_keywords,matched_groups,keyword_frequencies
ARCH 3500 - Architecture Design Studio V,2 9 and credit for or concurrent enrollment in and . Developing methodologies to establish critical positions and iterative design processes at successive stages of project development. Investigations of the relationship of architecture and urban design through exploring more complex site criteria and the creation of public space. Y Lab Fee,2.5,Project Development,engineering_capabilities-2,"{""project development"": 1}"
BIOL 2315 - Biology of Food,"3 0 None. An exploration of the biological diversity, physiology, cell biology, genetics, and evolution of the organisms (plants, animals, fungi, and bacteria) we eat and their relation to human biology. Modification of food organisms through domestication and genetic engineering and the role of modern agriculture in food production and sustainability will be explored. Designed for non-science majors; does not satisfy requirements for biology majors and preprofessional students. [30] Life & Physical Sciences",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
BTEC 3320 - Introduction to Quality Assurance and Quality Control in Biotechnology,"3 0 C- or better in . Quality control techniques, assurance issues, and management methods. Quality in design and planning in the constructed project, and in production of goods and services. No Yes",1.5,Quality Assurance,technical_skills-1,"{""quality assurance"": 1}"
ARTH 3333 - Issues in Contemporary Design,"3 0 and , or consent of instructor. Issues facing design in the 21st Century, including issues of sustainability and environmental design, exposure in museums and galleries, global design and national identity, impact of technology and conceptual design. No N",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
ARTS 4381 - Pursuing Utopia,"3 0 Twelve hours in foundation program studio courses, or consent of instructor. Examination of artistic and creative strategies having a direct, conscious and often catalytic relationship to place and community in which they exist, with focus on sustainability. No N",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
CIVE 5362 - Water Quality Engineering,"3 0 and credit for or concurrent enrollment in ; all prerequisites must be completed with C- or higher. Environmental chemistry and biology applications and implications to engineered and natural waters. Emphasis on physical, chemical, and biological characteristics of water and analytical methods for water quality management. No Yes Engineering Equipment Fee",2.0,Water Quality,technical_skills-1,"{""water quality"": 2}"
ECON 3385 - Economics of Energy,"3 0 or consent of instructor. National and international energy markets in various forms, including oil, natural gas and alternative energy sources. Pricing, distribution and allocation and U.S. and international regulation of industry. No Y",4.5,Energy Market,clean_energy_markets-4,"{""energy market"": 1}"
ECON 3363 - Environmental Economics,"3 0 and credit for or concurrent enrollment in and or consent of instructor. Concurrent enrollment in and or consent of instructor. Analyses of environmental quality and environmental regulation. Measurement of costs and benefits of potential solutions. Comparison of real world solutions, tried and untried, to theoretically preferred solutions and to current U.S. environmental policy. No Y",4.5,Environmental Regulation,sustainability_and_policy-4,"{""environmental regulation"": 1}"
"ECON 3348 - Food, Population, Agriculture and the Environment","3 0 or consent of instructor. The objective of this course is to provide reading material and lectures which facilitate a better understanding of the world, its politics, its agriculture and food production, the dynamics of population, the problems facing the global environment and the changing global economy in which we live. Central to the course is both the sustainability and the economics of global food production systems and their ability to end hunger and malnutrition and to feed a growing world population. No N",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
DIGM 4375 - Package Design,"2 3 Grade of C- or better in and . Packaging design from the perspectives of brand alignment, aesthetics, form, manufacturing processes, sustainability, utility, and commercial and governmental requirements. Creating prototypes; developing and presenting client proposals. No Yes",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
DIGM 4372 - Digital Media Production Management,"2 3 Grade of C- or better in . Production Management principles and techniques related to planning, costing, quality control, standards, and sustainability. No Yes",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
DANC 4330 - Career Skills for the Practicing Dance Artist,"3 0 Consent of instructor. This course provides a comprehensive overview of grant writing strategies and teaching artist skills necessary for career sustainability in the arts. Course topics include effective planning, research, and preparation for writing skillfully within fundraising, and teaching/performing as an artist in K-12 schools. No N",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
CIVE 4312 - Civil Engineering Capstone Design Project,"1 6 , , , , , and ; all prerequisites must be completed with C- or higher. Capstone design project. Includes constraints such as economic, environmental, social, political, ethical, health and safety, constructability, and sustainability. No Yes",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
CIVE 3434 - Fluid Mechanics and Hydraulic Engineering,"2 3 , , and ; all prerequisites must be completed with C- or higher. and . Fluid properties, hydrostatics, basic equations of fluid mechanics, inviscid and viscous flows, flow through pipes, pipeline systems, and open channel flow. No Yes",3.5,Pipeline,delivery_and_storage-3,"{""pipeline"": 1}"
CHEM 4370 - Physical Chemistry I,"3 0 Credit for or concurrent enrollment in , , and . The gaseous state, thermodynamics, chemical equilibria, change of state, solutions, electrochemistry, and atomic and molecular structure. No Credit may not be received for both CHEM 4370 and . Y",2.5,Electrochemistry,engineering_capabilities-2,"{""electrochemistry"": 1}"
CHEM 4365 - Inorganic Chemistry II,"3 0 Completion of , and with a grade of at least C-. Quantum mechanical description of atoms. Group theory. Molecular orbital and valence bond theories of chemical bonding. Predicting molecular shapes and polarities. Solid state bonding of ionic compounds, metals, and semiconductors. Acid-base interactions. Crystal field and ligand field models of bonding in d-block metal complexes and organometallics. Reactions of metal complexes and catalysis. The role of inorganic compounds in biochemistry. No May not apply toward degree until is successfully completed. Y",3.5,Catalysis,production-3,"{""catalysis"": 1}"
CHEM 3369 - Analytical Chemistry 1,"3 0 and . and PHYS 1312 also strongly recommended. Modern analytical chemistry, including separation methods and quantitative chemistry; introduction to methods of analysis in electrochemistry, absorption, and emission spectroscopy. No May not apply toward degree until is successfully completed. Y",2.5,Electrochemistry,engineering_capabilities-2,"{""electrochemistry"": 1}"
PETR 5350 - Natural Gas Engineering,"3 0 ; all prerequisites must be completed with C- or higher. Comprehensive study of natural gas engineering. Supply of natural gas including exploration, production unconventional resources, transportation, processing, conversion, and fuel cells. No Yes",3.5,Fuel Cell,use-3,"{""fuel cell"": 1}"
MECT 4345 - Fundamental & Applications of Fuel Cell,"3 0 and C- or better in . Comprehensive knowledge on Fuel Cell Technology, an emerging new and efficient alternative clean energy technology. No No",8.5,Clean Energy;Fuel Cell,sustainability_and_policy-4;use-3,"{""fuel cell"": 2, ""clean energy"": 1}"
MECT 4341 - Materials Selection & Management,"3 0 Grade of C- or better in and . Material selection as part of the design process; material properties, process and process selection, hybrid materials, and case studies. No Yes",1.5,Material Selection,technical_skills-1,"{""material selection"": 1}"
MECT 4331 - Heat Transfer Applications,"3 0 Grade of C- or better in and 3331. Principal concepts and methods of heat transfer: steady state and transient heat conduction in solids, forced and free convection in fluids, and radiation heat transfer. No Yes",2.5,Heat Transfer,technical_skills-1,"{""heat transfer"": 3}"
MECT 4328 - Fundamentals of Pipeline Design,"2 3 C- or better in and . Pipeline mechanical design using the limit-state based strength method; flow assurance and material selection; pipeline stability, corrosion, and construction; inspection, monitoring, and maintenance of pipelines. No Yes",7.0,Material Selection;Pipeline;Corrosion,technical_skills-1;delivery_and_storage-3,"{""pipeline"": 4, ""material selection"": 1, ""corrosion"": 1}"
MECT 4323 - Applications in Stress Analysis,"3 0 Grade of C- or better in and or equivalents. Combined stress systems, nonsymmetrical loadings, structural joints and pressure vessels, beams and columns of composite materials, fatigue and impact applications. No Yes",3.5,Pressure Vessel,delivery_and_storage-3,"{""pressure vessel"": 1}"
