title,description,relevance_score,matched_keywords,matched_groups,keyword_frequencies
PADM 7913 Advanced Topics in Human Resource Management in the Public and Non-Profit Sector (3),"Advanced topics in human resource management including human resource management and organizational structure, workforce diversity, technology, legal and ethical issues, public policy issues, improving productivity and other special topics of interest. Topics will vary from semester to semester.",2.5,Resource Management,technical_skills-1,"{""resource management"": 3}"
PADM 7912 Public Human Resource Management (3),"Explores human resource policy, including procedures and principles of personnel administration; traditional aspects of personnel administration including recruiting, job classification, evaluation, and compensation and dynamic topics include workforce diversity, drug abuse, whistle blowing, sexual discrimination, labor relations and other relevant issues.",1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
"OCS 4600 Global Environmental Change: Past, Present and Future (3)","Patterns and processes of global climate changes during the Quaternary and their links to the biosphere, cryosphere and ocean; proxies and archives; climate forcing and biotic responses; current warming and future impacts; human ecology of climate change; energy supply and human health; sustainability and policy.",9.0,Energy Supply;Sustainability,sustainability_and_policy-4;clean_energy_markets-4,"{""sustainability"": 1, ""energy supply"": 1}"
OCS 4242 Wetlands and Water Quality (3),An integrative view of wetland ecosystems with an emphasis on eutrophication and water quality.,2.0,Water Quality,technical_skills-1,"{""water quality"": 2}"
NFS 7010 Food Toxicology (3),"Principles of risk assessment, food chemical safety and toxicology; mycotoxins, aquatic toxins; natural toxins; food additives; and other food toxins.",1.5,Risk Assessment,technical_skills-1,"{""risk assessment"": 1}"
NFS 4040 Quality Assurance in the Food Industry (4),See .,1.5,Quality Assurance,technical_skills-1,"{""quality assurance"": 1}"
NFS 3119 Fundamentals of Quantity Food Production (4),"Principles and practical application of quantity food procurement, production, distribution and service; menu development; sanitation and safety; materials and resource management and development.",1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
MATH 7311 Real Analysis I (3),Abstract measure and integration theory with application to Lebesgue measure on the real line and Euclidean space.,4.5,ESG,sustainability_and_policy-4,"{""esg"": 1}"
ME 4202 Mechanical Engineering Capstone Design II (2),"Principles from heat transfer, thermodynamics, design, fluids and materials courses utilized to complete the project set forth in the preliminary design outline submitted in .",1.5,Heat Transfer,technical_skills-1,"{""heat transfer"": 1}"
ME 4183 Theory and Design of Mechanical Control Systems (3),"Basic principles, concepts, characteristics and performance of linear feedback control systems; stability of linear systems; frequency response methods; compensator design in the frequency domain.",2.0,Control Systems,technical_skills-1,"{""control systems"": 2}"
ME 3752 Material Selection for Mechanical Engineers (2),Analysis of mechanical and other properties of engineering materials required for material selection; advanced engineering materials in mechanical engineering; applications and problems in processing and shaping; materials in selected mechanical systems.,2.0,Material Selection,technical_skills-1,"{""material selection"": 2}"
ME 3633 Manufacturing Processes & Methods (3),"Modern manufacturing processes integrated into total manufacturing systems; CAD/CAM flexible manufacturing operations; metal casting, forming, removal; welding processes and machinery; fine measurement, inspection and quality assurance.",5.0,Quality Assurance;Welding,technical_skills-1;delivery_and_storage-3,"{""welding"": 1, ""quality assurance"": 1}"
ME 3333 Thermodynamics (3),"Basic laws of thermodynamics, availability, perfect gases and pure substances, fluid flow and basic heat transfer.",1.5,Heat Transfer,technical_skills-1,"{""heat transfer"": 1}"
ME 2334 Thermodynamics (4),"Thermodynamic systems and control volumes; thermodynamic properties of simple substances, work and heat; 1st and 2nd law; power and refrigeration cycles; ideal gas mixtures, water-vapor mixtures and psychrometric chart; combustion.",2.5,Combustion,engineering_capabilities-2,"{""combustion"": 1}"
MKT 4490 Services Marketing (3),"Developing, pricing, distributing and promoting the service; control of quality of customer encounters through service automation and/or employee selection and training; place of marketing in service organization structure; strategic implications of structure of service industries.",1.5,Automation,technical_skills-1,"{""automation"": 1}"
MGT 4523 Legal Issues in Human Resource Management (3),"An examination of the most significant laws and court rulings influencing companies’ employment practices; topics include: anti-discrimination statutes, affirmative action, commonly committed workplace torts, occupational safety and health laws, workers’ compensation and wrongful termination.",1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
MGT 4430 Managing Across Cultures (3),"Introduction to the basic principles of cross-cultural management. Students will examine both the theory and practice of international management concepts across three modules: (1) foundations of global business, (2) the role of culture, and (3) international organizational behavior and human resource management.",1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
