title,description,relevance_score,matched_keywords,matched_groups,keyword_frequencies
FIN 7718 Multinational Financial Management (3),"Cross border investment, investment analysis, capital planning, foreign currency exposure and cash management; concepts of political risk assessment; techniques in transactional trade; alternative financial sources; issues in international financial controls.",1.5,Risk Assessment,technical_skills-1,"{""risk assessment"": 1}"
EVEG 4154 Sustainability Engineering (3),"Engineering analysis and design approaches that minimize impacts on the environment, human health and social conditions; ecodesign; life cycle assessment; full-cost accounting; pollution prevention.",5.0,Life Cycle Assessment;Sustainability,sustainability_and_policy-4,"{""sustainability"": 1, ""life cycle assessment"": 1}"
EVEG 4136 Water Quality Analysis Laboratory (1),Water quality analysis of wastewater and natural waters.,2.0,Water Quality,technical_skills-1,"{""water quality"": 2}"
EVEG 3271 Senior Project I: Consulting Format (3),"Project management (proposals, flow charts, technical content) mimicking methodologies utilized by professional consulting firms; findings presented using professional format, i.e., final reports address rationale, process treatment trains and/or process sizing.",2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
EVEG 3145 Environmental Engineering III (3),"Application of chemical principles to water quality problems in the area of water supply, wastewater treatment, and pollution of natural waters. Fundamentals of equilibrium chemistry, chemical kinetics, organic and colloidal chemistry as applied to environmental engineering.",1.5,Water Quality,technical_skills-1,"{""water quality"": 1}"
EVEG 3110 Water and Wastewater Treatment (3),"Physical, chemical and biological characteristics of water and wastewater; water quality regulation; basic reactor engineering; operation and simple design of physical, chemical and biological unit processes in water and wastewater treatment.",1.5,Water Quality,technical_skills-1,"{""water quality"": 1}"
EE 7585 Advanced Digital Control Systems (3),Theory and design of sampled-data control systems: including discretization of continuous-time systems and lifting of sampled-data systems; performance analysis in frequency and time domain; design techniques based on optimal controls; robustness analysis of sampled-data feedback control systems under plant perturbations.,2.5,Control Systems,technical_skills-1,"{""control systems"": 3}"
EE 7510 Advanced Linear Systems (3),"Modern approaches for the analysis and identification of linear, discrete and continuous time, control systems; state variable and fractional description techniques, functional analytic methods.",1.5,Control Systems,technical_skills-1,"{""control systems"": 1}"
EE 7484 Grid Integration of Renewable Energy (3),Grid requirements for Photovoltaic and wind energy systems; Generators and converter structures for wind energy systems; Photovoltaic converter structures; Grid converter control for photovoltaic and wind energy systems.,4.5,Renewable Energy,sustainability_and_policy-4,"{""renewable energy"": 1}"
EE 7474 Power Systems Operation and Optimization (3),"Concepts, models, and solution methodologies for power systems operation; application of optimization techniques for power generation and transmission management.",3.5,Power Generation,use-3,"{""power generation"": 1}"
EE 7425 Dynamics of Microgrids (3),", . Transient stability analysis in micro grids, modeling of power systems for control and stability analysis, flexible ac transmission systems, renewable energy integration, and voltage stability.",4.5,Renewable Energy,sustainability_and_policy-4,"{""renewable energy"": 1}"
EE 7422 Advanced Electric Machines,"Topics on special purpose electric motors used in automation, robots and electric or magnetically levitated vehicles.",1.5,Automation,technical_skills-1,"{""automation"": 1}"
EE 4444 Power System Reliability (3),"Fundamental knowledge on the reliability evaluation of engineering systems with emphasis on electric power systems; models and methodologies for power systems reliability assessment; application of probability theory for design and management of power generation, transmission and distribution systems.",3.5,Power Generation,use-3,"{""power generation"": 1}"
EE 4434 Renewable Energy Generation Systems (3),Conventional power generation issues; introduction to renewable energies and their integration into power grids; design of photovoltaic and wind microgrid generation stations; energy storage applications and models.,8.0,Renewable Energy;Power Generation,sustainability_and_policy-4;use-3,"{""power generation"": 1, ""renewable energy"": 1}"
EE 4431 Modeling and Analysis of Modern Power Systems (3),"Analysis of power systems with penetration of renewable energy systems, microgrid and smart grid design considerations, load flow algorithms, symmetrical and unsymmetrical fault analysis, basic principles of modern power system modeling and analysis in steady state operation including, components modeling and network modeling.",4.5,Renewable Energy,sustainability_and_policy-4,"{""renewable energy"": 1}"
EE 4247 Chemical and Biological Sensors (3),"Fundamentals of chemical and biological sensors; molecular recognition and transduction principles; fundamentals of electrochemical sensors, optical and mass-sensitive sensing techniques, and performance factors of chemical and biological sensors.",2.5,Electrochemical,engineering_capabilities-2,"{""electrochemical"": 1}"
ENGR 7050 Future Faculty Development Seminar (2),Open to all engineering and construction management graduate students. Provides fundamental skill sets and knowledge needed to successfully prepare for an academic career in engineering.,2.5,Construction Management,engineering_capabilities-2,"{""construction management"": 1}"
EMS 4087 Best Practices for Environmental Sustainability in Agriculture (3),No Description Found,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
EMS 4020 Quantitative Risk Assessment (3),Assessment of environmental risks; interactions of pollution/toxins with the human body; managing and predicting risks.,1.5,Risk Assessment,technical_skills-1,"{""risk assessment"": 1}"
EMS 3050 Environmental Regulations and Compliance (3),"Local, state and federal environmental regulations; enforcement of and compliance with regulations; roles of regulatory agencies.",5.0,Environmental Regulation,sustainability_and_policy-4,"{""environmental regulation"": 2}"
ENTM 7017 Introduction to Insecticide Toxicology (3),"Principles of toxicology as they relate to insecticides; bioassays, risk assessment, mode of action, pharmacokinetics, insecticide resistance and selectivity.",1.5,Risk Assessment,technical_skills-1,"{""risk assessment"": 1}"
DMAE 7115 Digital Media Production & Project Management (4),Production and management principles encompassing the entire project cycle.,2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
THTR 7622 Scenery Automation (3),"Examination of scenery control systems, including PLC programming, positioning control, software and all in-one control systems.",2.5,Automation;Control Systems,technical_skills-1,"{""control systems"": 2, ""automation"": 1}"
AEEE 2004 Introduction to Metals and Welding in Agricultural and Extension Education (3),"Introduction to Shielded Metal Arc Welding (SMAW), Gas Metal Arc Welding (GMAW), and Oxy-fuel welding/cutting. Emphasis on the theoretical foundation of welding, safety, skill development, and management of facilities, materials, and equipment.",5.5,Welding,delivery_and_storage-3,"{""welding"": 5}"
ANSC 4040 Quality Assurance in the Food Industry (4),"Laboratory functions, manufacturing processes and microbiological, chemical and statistical techniques used to provide complete quality assurance for the modern dairy food plant.",2.0,Quality Assurance,technical_skills-1,"{""quality assurance"": 2}"
AGRO 4087 Best Practices for Environmental Sustainability in Agriculture (3),A comprehensive instruction of practices and strategies available to mitigate the environmental effects of many agricultural practices; focus on both structural Best Management Practices (BMPs) and management based BMPs used in both animal and agronomic crop production; new and emerging pollution reduction strategies.,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
AGRI 3900 Study Abroad Experiences in Agriculture (1-3),"History, development, and current practices in agricultural production, sustainability, marketing, economics, and natural resource management. Course available only as part of a study abroad program.",6.0,Sustainability;Resource Management,sustainability_and_policy-4;technical_skills-1,"{""sustainability"": 1, ""resource management"": 1}"
ANTH 4042 Enterprise Geographic Information Systems (3),See .,2.5,Geographic Information Systems,engineering_capabilities-2,"{""geographic information systems"": 1}"
ANSC 4087 Best Practices for Environmental Sustainability in Agriculture (3),No Description Found,4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
ATRN 7402 Principles of Healthcare Administration in Athletic Training (3),"An overview of administrative concepts and organization of health care facilities that provide athletic training services. Topics covered include: facility design, fiscal and human resource management, insurance and reimbursement, legal and ethical practices, and healthcare informatics.",1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
ARCH 5001 Comprehensive Architectural Design (6),"Emphasis on the comprehensive design of a single building integrating material selection, mechanical, acoustical, structural, lighting and two- and three-dimensional studies.",1.5,Material Selection,technical_skills-1,"{""material selection"": 1}"
ARCH 4041 Issues in Sustainability (3),Examination of issues in sustainability as they relate to the practice of architecture.,5.0,Sustainability,sustainability_and_policy-4,"{""sustainability"": 2}"
ARCH 3008 Environmental Control Systems (3),"Principles and practices of selection and design of mechanical systems, including lighting, electrical distributions, acoustics, plumbing, vertical transportation and fire suppression.",1.5,Control Systems,technical_skills-1,"{""control systems"": 1}"
BE 4383 Natural Resource Engineering (3),"Engineering analysis and design of natural resource control systems, including open channels, vegetated water-ways, terraces, water control structures, spillways, reservoirs, flood control, surface water quality and wetlands.",2.0,Water Quality;Control Systems,technical_skills-1,"{""water quality"": 1, ""control systems"": 1}"
BE 4352 Transport Phenomena in Biological Engineering (3),"Mass balances with consideration of chemical and biological reaction kinetics; energy balance and principles of conduction, convection and radiation including 3-D diffusion, transient heat transfer and convection analysis; energy transfer in engineering design and analysis; principle of mass transfer.",1.5,Heat Transfer,technical_skills-1,"{""heat transfer"": 1}"
BE 4342 Sugar Process Engineering (3),"Processes used in the manufacture of raw and refined sugar; application of scientific and engineering principles to unit operations of evaporation, crystallization, extraction, solids handling and drying, centrifuging, clarification and steam and power generation.",6.0,Process Engineering;Power Generation,use-3;engineering_capabilities-2,"{""power generation"": 1, ""process engineering"": 1}"
BE 4340 Food and Bioprocess Engineering (3),See .,2.5,Process Engineering,engineering_capabilities-2,"{""process engineering"": 1}"
BE 4310 Biofuels and Bioproducts from Renewable Resources (3),"Principles of biofuel and bioproducts production using different technologies. Fundamental concepts are used to design different engineering processes required for production of bioethanol, biodiesel, bio-oil, and other biobased products, including harvesting and logistics.",3.5,Biofuels,use-3,"{""biofuels"": 1}"
BE 3381 Nonpoint Source Pollution Engineering (3),"Water quality criteria and regulations for the agricultural community; production, treatment and disposal of agricultural and food processing wastes; management of agricultural nutrients; nonpoint source pollution; bi-product utilization; land application; wetland restoration; stream sampling and analysis; re-aeration studies and modeling.",1.5,Water Quality,technical_skills-1,"{""water quality"": 1}"
BADM 7501 Cybersecurity Risk Management (3),"Cybersecurity frameworks; cybersecurity governance; cybersecurity and privacy regulations; intrusion techniques; cybersecurity incident response reports; National Institute for Science and Technology (NIST) methodology for IT system risk assessments, NIST assessment methodology.",1.5,Risk Assessment,technical_skills-1,"{""risk assessment"": 1}"
ART 3994 Advanced Photography (3),"Technical investigation of contemporary materials; critical testing of equipment, films and printing papers; emphasis on process control as an expressive tool.",1.5,Process Control,technical_skills-1,"{""process control"": 1}"
BIOL 4015 Conservation Biology (4),"Same as . Principles and concepts of conservation biology; practical applications of conservation biology to design, management and restoration of ecologically sustainable preserves at local, regional, and global scales; threats to biological diversity and sustainability resulting from human population growth, resource exploitation, and global climate change.",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
CE 7180 Water Quality Simulations (3),Water quality modeling from a perspective of practicality and reliability; emphasis on model calibration and verification procedures and methodologies for quantifying uncertainties associated with model predictions.,2.0,Water Quality,technical_skills-1,"{""water quality"": 2}"
CE 7105 Advanced Topics in Water Quality and Treatment (3),Theory and application of advanced chemical principles to water quality and treatment; advanced equilibrium chemistry calculation; redox and colloidal chemistry as applied to environmental engineering.,2.0,Water Quality,technical_skills-1,"{""water quality"": 2}"
CE 4750 Professional Issues and Concept Design in Civil Engineering (2),"Engineering Graphics. Civil engineering design processes and systems; constructability and sustainability; use of consultants and contractors; project management, scheduling; economics and costing; ethical, health and safety; social, political and environmental considerations.",7.0,Sustainability;Project Management,sustainability_and_policy-4;engineering_capabilities-2,"{""sustainability"": 1, ""project management"": 1}"
CFS 8000 Thesis Research (1-12),Directed research and focused project development under the supervision of the major professor.,2.5,Project Development,engineering_capabilities-2,"{""project development"": 1}"
CHEM 4571 Organometallic Chemistry (3),"Chemistry and principles of metal bonds with metal to carbon sigma and pi bonds; bonding concepts, electronic structure, periodic trends and fundamental reaction mechanisms; applications to homogeneous catalysis.",3.5,Catalysis,production-3,"{""catalysis"": 1}"
CHEM 4564 Chemical Synthesis Laboratory (3),"Laboratory course in organic, inorganic, and polymer chemistry with an emphasis of modern synthetic methods and characterization techniques.",2.5,Chemical Synthesis,engineering_capabilities-2,"{""chemical synthesis"": 1}"
CHEM 4559 Electroanalytical Chemistry (3),"Basic principles of electrochemical reactions, electroanalytical voltammetric methods for analysis, the chemistry of heterogeneous electron transfers, electrochemical instrumentation, micro- and nano- electrodes, surface modification for electro-catalysis and sensing.",6.5,Catalysis;Electrochemical,production-3;engineering_capabilities-2,"{""catalysis"": 1, ""electrochemical"": 2}"
CM 7303 Environmental Life Cycle Assessment (3),Life Cycle Assessment (LCA) as a science-based technique to guide policy and decision-making that enhances sustainability. Computational structure and data sources for SETAC LCA; Input-output LCA and Hybrid LCA as tools to select a superior alternative on the basis of pollution prevention and resource conservation.,5.5,Life Cycle Assessment;Sustainability,sustainability_and_policy-4,"{""sustainability"": 1, ""life cycle assessment"": 2}"
CM 7220 Building Information Modeling for Construction Management (3),"Concepts related to the implementation of BIM in construction projects from the perspective of the general contractor; topics include applications of BIM for visualization, marketing, quantity take-off, scheduling, coordination, and facilities management.",2.5,Construction Management,engineering_capabilities-2,"{""construction management"": 1}"
CM 7207 Independent Study in Construction Management (3),Independent study in specialized areas of construction management. Research on a construction topic as chosen by the student under direct supervision of a chosen graduate faculty member.,3.0,Construction Management,engineering_capabilities-2,"{""construction management"": 2}"
CM 7206 Special Topics in Construction Management (3),"Graduate level advanced topics, current issues or recent developments in the construction industry.",2.5,Construction Management,engineering_capabilities-2,"{""construction management"": 1}"
CM 7150 Decision Making Tools in Construction Management (3),Reviewing decision-making techniques that can be used by construction managers to assist in making decisions under uncertainty; decision-making techniques include financial and decision theory techniques along with sensitivity analysis; examples drawn from the construction industry as well as engineering.,2.5,Construction Management,engineering_capabilities-2,"{""construction management"": 1}"
CM 7111 Advanced Construction Scheduling (3),"Advanced techniques in schedule development and implementation for effective project management during the planning and construction phases of a project, including monitoring, updating, and controlling the project schedule and computer software applications.",2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
CM 7010 Research Methods in Construction Management (3),"Identification and formation of construction management research problems, design of a research process, research information resources, numerous research methods, data collection and analysis methods, and presentation and dissemination of research results and findings.",3.0,Construction Management,engineering_capabilities-2,"{""construction management"": 2}"
CM 4311 Disaster Resilient Construction (3),"Hazard identification, project siting, building code requirements, and above-code practices for natural hazard/disaster resilient construction.",1.5,Hazard Identification,technical_skills-1,"{""hazard identification"": 1}"
CM 4303 Life Cycle Assessment (3),"Computational structure and data sources for SETAC LCA, input-output LCA and hybrid LCA as tools selects a superior alternative on the basis of pollution prevention and resource conservation.",4.5,Life Cycle Assessment,sustainability_and_policy-4,"{""life cycle assessment"": 1}"
CM 4221 Construction Project Management (3),"Field management of a project from inception to completion, including personnel needed, business aspects, estimating and bidding aspects, communication, record keeping, monitoring and control of project, risk and claims management, safety, and close out.",2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
CM 4206 Special Topics in Construction Management (3),"Advanced topics, current issues or recent developments in the construction industry.",2.5,Construction Management,engineering_capabilities-2,"{""construction management"": 1}"
CM 4202 Construction Enterprise (3),A comprehensive study of construction management as it relates to a single construction enterprise.,2.5,Construction Management,engineering_capabilities-2,"{""construction management"": 1}"
CM 3237 Residential Project Management (3),"Focus on managing residential projects from construction planning to completion and warranty work. This will include residential industry participants, organization of the project team, outside influences on scope and performance in the residential construction industry, blending proven practices with the experiences of builders in the field.",2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
CM 3112 BIM for Construction Management (3),"Principles of BIM and its application to project execution tasks, planning and sequencing, spatial coordination and clash detection, as well as BIM support for field operations and facility management.",2.5,Construction Management,engineering_capabilities-2,"{""construction management"": 1}"
CM 2215 Construction Safety (3),Construction safety relating to accident causation; contractual obligations; project management and coordination.,2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
CM 2101 Construction Materials and Methods I (3),"Principal materials and methods used in building construction, emphasizing common construction systems such as light wood frames, masonry bearing walls, steel frames, and reinforced concrete as well as project planning, work methods, materials, equipment, and sustainability.",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
CM 2100 Construction Materials and Methods I (3),"Principal materials and methods used in building construction, emphasizing common construction systems such as light wood frames, masonry bearing walls, steel frames, and reinforced concrete as well as project planning, work methods, materials, equipment, and sustainability.",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
CM 1112 Construction Materials and Methods I (3),"Principal materials and methods used in building construction, emphasizing common construction systems such as light wood frames, masonry bearing walls, steel frames and reinforced concrete as well as project planning, work methods, materials, equipment, and sustainability. Drawing identification and quantity take off will be introduced.",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
CM 1070 Introduction to Sustainability in the Built Environment (3),"Basic principles of sustainability in the built environment; interactions between the built environment and humans/nature; fundamentals of sustainable practices within the built environment to protect the natural environment and human health; overview of green materials, products, and rating systems in the built environment.",5.0,Sustainability,sustainability_and_policy-4,"{""sustainability"": 2}"
CM 1011 Introduction to Construction Management (3),A survey of the construction industry to include an orientation to essential elements of professional practice and development in construction management.,3.0,Construction Management,engineering_capabilities-2,"{""construction management"": 2}"
CSC 4370 Software Modeling Techniques (3),Examination of modern modeling techniques for complex/high quality software including static/dynamic software models and project management models.,2.5,Project Management,engineering_capabilities-2,"{""project management"": 1}"
CSC 4332 Software Quality & Testing (3),"Concepts of software testing and quality assurance, including test generation, test oracles, black box and white box testing, integration testing, test coverage, regression testing, mutation testing, program analysis, test driven development, test automation, and test prioritization.",2.0,Automation;Quality Assurance,technical_skills-1,"{""automation"": 1, ""quality assurance"": 1}"
CHE 7700 Advanced Topics in Chemical Engineering (3),One or more phases of advanced chemical engineering practice.,3.0,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 2}"
CHE 7592 Design Problems in Chemical Engineering (3),"Prior to registration students should discuss a prospective design problem with faculty member under whom they plan to study and obtain departmental approval. Design problem cannot be directly related to student’s research. Integration of technology into design of systems or plants for accomplishing specific objectives; emphasis on producing a design package considering technical, economic, manning and scheduling aspects of the project.",2.5,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1}"
CHE 7542 Catalysis (3),"Heterogeneous catalysis; adsorption phenomena, physical methods, solid state spectroscopies and reaction mechanisms as applicable to fundamental and industrially significant processes.",4.0,Catalysis,production-3,"{""catalysis"": 2}"
CHE 7530 Computational Methods in Chemical Engineering (3),"Advanced computational modeling techniques widely used in one or more of the following areas that are relevant to the modern chemical engineering discipline, including: catalysis and reaction engineering; thermodynamics; transport phenomena; process control.",8.0,Chemical Engineering;Process Control;Catalysis,production-3;engineering_capabilities-2;technical_skills-1,"{""catalysis"": 1, ""chemical engineering"": 2, ""process control"": 1}"
CHE 7520 Advanced Topics in Biochemical Engineering (3),"Overview of current research topics in biochemical engineering, including metabolic engineering to produce commodity products, genetic engineering for enhanced therapeutics, enzyme kinetics, cell growth dynamics, data mining and managing large data sets generated by ‘omics fields, and mathematical modeling of biological systems.",3.0,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 2}"
CHE 7140 Chemical Reactor Design Methods (3),"Basic principles of chemical kinetics, fluid flow, heat transfer and mass transfer used in design of chemical reactors; chemical equilibria, chemical kinetics, design of isothermal reactors, effects of nonideal flow, nonisothermal reactors and solid-gas catalytic reactions.",1.5,Heat Transfer,technical_skills-1,"{""heat transfer"": 1}"
CHE 7120 Chemical Engineering Thermodynamics (3),"Thermodynamic properties, first and second laws of thermodynamics, entropy, Maxwell relations, and relationship of thermodynamic properties to intermolecular forces; physical equilibrium with emphasis on partial free energy, fugacity, Raoult’s law, K-values, equations of state, and activity coefficients; chemical equilibrium and free energies; fundamentals of statistical mechanics.",2.5,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1}"
CE 4320 Coastal Engineering (3),"Engineering problems of the coastal zone; coastal processes, wave action, currents, sediment movement; environmental forces due to waves, currents and winds; offshore soil geotechnical properties, vertical and lateral pile capacity; design principles for submarine pipelines and offshore platforms; engineering case studies.",3.5,Pipeline,delivery_and_storage-3,"{""pipeline"": 1}"
CE 2250 Fluid Mechanics Laboratory (1),Measurement and calibration of hydraulic machinery; pump and turbine efficiency; flow in pipelines; viscosity; discharge coefficients.,3.5,Pipeline,delivery_and_storage-3,"{""pipeline"": 1}"
CHE 7100 Chemical Engineering Fluid Mechanics (3),"Foundations of continuum fluid mechanics and the equations of motion; solution methods for lubrication flows, creeping flows, boundary layer problems, laminar flows with strong convection; introduction to selected topics including: turbulence, non-Newtonian fluids, interfacial flows, computational fluid dynamics, microfluidics, particle motion, droplet dynamics.",2.5,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1}"
CHE 4488 Process Separations Design and Synthesis (3),Synthesis and design of separation processes in the chemical manufacturing industry.,2.5,Chemical Manufacturing,engineering_capabilities-2,"{""chemical manufacturing"": 1}"
CHE 4480 Technical Leadership in Chemical Engineering (3),"Focuses on technical leadership fundamentals for chemical engineers, including: ethics and professionalism; time management; building trust and credibility; risk taking; leadership through questions; creating a vision; team building and teamwork; running an effective meeting; conflict management and resolution; communication; and presenting difficult messages.",2.5,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1}"
CHE 4420 Special Topics in Chemical Engineering Science (3),One or more phases of current chemical engineering science.,3.0,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 2}"
CHE 4410 Special Topics in Chemical Engineering Design (3),One or more phases of current chemical engineering design.,3.0,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 2}"
CHE 4275 Electrochemical Engineering (3),"Introductory course in transport science. Principles of electrochemistry applied to engineering problems; potential distribution theory, kinetics, mass transport and thermodynamic principles; quantification of controlling factors in microfabrication, corrosion, battery design and electrochemical synthesis.",6.0,Electrochemistry;Electrochemical;Chemical Engineering;Corrosion;Chemical Synthesis,engineering_capabilities-2;technical_skills-1,"{""chemical engineering"": 1, ""chemical synthesis"": 1, ""electrochemical"": 2, ""electrochemistry"": 1, ""corrosion"": 1}"
CHE 4272 Chemical Processing of Nanomaterials (3),"Chemical engineering principles applied to preparation, handling and applications of nanomaterials. Emphasis will be on manufacturing and processing steps. Case studies will be developed to focus on specific device or material applications.",2.5,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1}"
CHE 4260 Biochemical Engineering (3),"Application of chemical engineering fundamentals to microbiological and biochemical systems; problems peculiar to industrial operations involving microbial processes; growth conditions and requirements, metabolisms, product separations, enzyme catalysis, sterilization and aseptic operations.",6.5,Chemical Engineering;Catalysis,production-3;engineering_capabilities-2,"{""catalysis"": 1, ""chemical engineering"": 2}"
CHE 4253 Introduction to Industrial Pollution Control (3),"Quantitative application of chemical engineering principles to removal of objectionable components from effluents, with emphasis on industrial processing effluents; currently available techniques for controlling air and water pollution and solid wastes; concept of pollution control through basic process alterations developed by specific examples.",2.5,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1}"
CHE 4230 Advanced Process Control Systems (3),Advanced process control tools; modern industrial control technology; process optimization and control; integrated systems control.,2.5,Process Control;Control Systems,technical_skills-1,"{""control systems"": 1, ""process control"": 2}"
CHE 4222 Chemical Engineering Project II (2),"A continuation of , comprehensive development project of a practical nature, involving a team effort over two semesters (fall and spring periods).",2.5,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1}"
CHE 4221 Chemical Engineering Project I (1),"Comprehensive development project of a practical nature, involving a team effort over two semesters (fall and spring periods).",2.5,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1}"
CHE 4210 Industrial Catalysis (3),"Principles of the industrial utilization of heterogenous catalysis; topics include absorption phenomena, methodology in catalyst preparation, characterization and evaluation of catalysts, diffusion and reaction in porous catalysts and a survey of major industrial processes.",5.5,Catalyst;Catalysis,production-3,"{""catalysis"": 2, ""catalyst"": 3}"
CHE 4162 Unit Operations Laboratory (3),Obtaining and interpreting data needed to solve typical problems in design or operation of chemical engineering equipment.,2.5,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1}"
CHE 4151 Unit Operations Design (4),Unit operations analyzed as applications of chemical engineering fundamentals and transport sciences; use of these principles in design calculations.,2.5,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1}"
CHE 3901 Independent Research II (3),"A continuation of , individual study of a specific chemical engineering problem or individual laboratory research.",2.5,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1}"
CHE 3410 Sustainability in Chemical Engineering (3),"Methods of engineering and life cycle analysis in a contemporary sustainability context. Topics include resources assessment, energy extraction/capture, conversion, distribution, storage, and consumption; environmental and economic consequences; local to global scales; and exergy and exergy analysis with examples from CO2 capture.",11.5,Chemical Engineering;Sustainability;CO2 Capture;Life Cycle Analysis,sustainability_and_policy-4;production-3;engineering_capabilities-2,"{""co2 capture"": 1, ""sustainability"": 2, ""life cycle analysis"": 1, ""chemical engineering"": 1}"
CHE 3900 Independent Research I (3),Individual study of a specific chemical engineering problem or individual laboratory research.,2.5,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1}"
CHE 3249 Co-op in the Chemical Engineering Industry (3),Students will engage in coursework related to their experiences garnered during their co-op assignment.,2.5,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 1}"
CHE 3171 Introduction to Design and Process Safety (3),"a grade of “C” or better in Introduction to process design, equipment selection, capital and operating economics, optimization and process safety.",3.0,Process Safety,engineering_capabilities-2,"{""process safety"": 2}"
CHE 1100 Introduction to Chemical Engineering (1),"Overview of what chemical engineers do, including guiding principles of the discipline and basics of large-scale chemical engineering problem solving.",3.0,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 2}"
CHE 2171 Chemical Engineering Fundamentals: Material and Energy Balances (4),Emphasis on basic principles and concepts used to make chemical engineering calculations; techniques used in these calculations applied to typical industrial problems. A three hour computer lab will reinforce lecture material and give practical experience with computer simulation packages.,3.0,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 2}"
CHE 2172 Chemical Engineering Thermodynamics (3),Basic concepts and chemical engineering applications of thermodynamics; emphasis on flow processes and real gas thermodynamics.,3.0,Chemical Engineering,engineering_capabilities-2,"{""chemical engineering"": 2}"
CE 7455 Finite Element Method in Engineering (3),"Finite element method as an extended Ritz technique based on variational concepts for continua with applications to heat transfer, flow through porous media, fluid dynamics, elasticity, plasticity and stability and vibrations of elastic systems.",1.5,Heat Transfer,technical_skills-1,"{""heat transfer"": 1}"
TAM 7038 Merchandise Trends and Practices in Apparel and Textile Industry (3),"Identify the current trends and issues in fashion merchandising such as e-tailing, multichannel retailing, retail technology, environmental sustainability, globalization, and experiential retailing. Introduce the theories, concepts, and processes related to management level problems.",4.5,Sustainability,sustainability_and_policy-4,"{""sustainability"": 1}"
POLI 4022 American Constitutional Law of the Criminally Accused (3),"Political Relevance of major federal constitutional limitations with particular focus on the Fourth, Fifth, Sixth, and Eight amendments and the criminal justice system.",3.5,CCUS,production-3,"{""ccus"": 1}"
RNR 7007 Policy Considerations for the Management of Natural Resources (3),"Review of the history of U.S. natural resource policy to include the policy process and policy conflicts. Development of skills needed to evaluate natural resources policy. Focus on agricultural policy and public policy concerning land, endangered species, environmental regulations and incentive programs.",4.5,Environmental Regulation,sustainability_and_policy-4,"{""environmental regulation"": 1}"
RNR 4150 Forest Hydrology and Soils (3),"Principles of hydrology and soils with emphasis on forest environments. Forest soil development, role of forests in the hydrologic cycle, and the role of soil and water in natural resource management.",1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
RNR 4106 Techniques in Limnology and Fisheries (2),"Quantitative techniques in habitat, water quality and fish population assessment in freshwater ecosystems.",1.5,Water Quality,technical_skills-1,"{""water quality"": 1}"
"RNR 4101 Capstone: Natural Resources Management, Policy and Human Dimensions (4)","Development of problem-solving skills for the management of renewable natural resources; application and integration of renewable natural resource management theory, policy, practices and human dimensions; analysis of management and policy decisions.",1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
RNR 4061 Special Problems in Natural Resource Management (1-4),"Individual, independent, mentored, and directed study.",1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
RNR 3036 Field Studies in Mensuration (2),Exercises in designing and conducting timber and multipurpose cruises; boundary location and other types of land surveying associated with forest resource management.,1.5,Resource Management,technical_skills-1,"{""resource management"": 1}"
"RNR 3004 Photogrammetry, GPS and GIS (3)","Principles, interpretation and use of aerial photos, Global Positioning Systems (GPS) and Geographic Information Systems (GIS) in stand measurements and forest management applications.",2.5,Geographic Information Systems,engineering_capabilities-2,"{""geographic information systems"": 1}"
